,MatrixID,Lat,Lon,StudyStart,StudyEnd,GenTime,db,Download,air_temperature,air_temperature_SD,total_precipitation,total_precipitation_SD,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_SD,volumetric_soil_water_layer_2,volumetric_soil_water_layer_2_SD,snowfall,snowfall_SD,volumetric_soil_water_layer_3,volumetric_soil_water_layer_3_SD,volumetric_soil_water_layer_4,volumetric_soil_water_layer_4_SD,runoff,runoff_SD,total_evaporation,total_evaporation_SD
1590,249512,35.125556,-78.995278,2011,2013,7.6676438,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1591,249513,35.125556,-78.995278,2011,2013,7.943677392,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1592,249514,35.125556,-78.995278,2011,2013,8.877104493,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1593,249515,35.125556,-78.995278,2011,2013,8.488854271,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1594,249516,35.125556,-78.995278,2011,2013,8.250792044,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1595,249517,35.125556,-78.995278,2011,2013,8.13691977,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1596,249518,35.125556,-78.995278,2011,2013,7.232394775,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1597,249519,35.125556,-78.995278,2011,2013,6.94688983,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1598,249520,35.125556,-78.995278,2011,2013,8.13691977,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1599,249521,35.125556,-78.995278,2011,2013,7.979947189,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
